iter	Passed	Remaining
751	1108	365
752	1109	363
753	1109	362
754	1110	360
755	1112	359
756	1113	357
757	1114	355
758	1115	354
759	1116	352
760	1117	351
761	1119	349
762	1120	347
763	1121	346
764	1122	344
765	1123	343
766	1125	341
767	1126	340
768	1127	338
769	1129	337
770	1130	335
771	1131	334
772	1133	332
773	1134	331
774	1135	329
775	1136	328
776	1138	326
777	1139	325
778	1140	323
779	1141	321
780	1143	320
781	1144	319
782	1145	317
783	1147	316
784	1148	314
785	1150	313
786	1151	311
787	1152	310
788	1153	308
789	1154	306
790	1156	305
791	1157	304
792	1158	302
793	1159	300
794	1160	299
795	1162	297
796	1163	296
797	1164	294
798	1165	293
799	1167	291
800	1168	290
801	1170	288
802	1171	287
803	1172	285
804	1174	284
805	1175	282
806	1176	281
807	1178	279
808	1179	278
809	1180	277
810	1182	275
811	1183	273
812	1184	272
813	1185	270
814	1187	269
815	1188	268
816	1189	266
817	1190	264
818	1192	263
819	1193	261
820	1194	260
821	1195	258
822	1197	257
823	1198	256
824	1199	254
825	1201	253
826	1202	251
827	1204	250
828	1205	248
829	1207	247
830	1208	245
831	1209	244
832	1211	242
833	1212	241
834	1213	239
835	1214	238
836	1216	236
837	1217	235
838	1218	233
839	1219	232
840	1221	230
841	1222	229
842	1224	228
843	1225	226
844	1226	224
845	1227	223
846	1229	222
847	1230	220
848	1231	219
849	1232	217
850	1233	215
851	1234	214
852	1236	213
853	1237	211
854	1238	210
855	1239	208
856	1240	206
857	1241	205
858	1242	203
859	1243	202
860	1245	201
861	1246	199
862	1247	197
863	1248	196
864	1249	195
865	1250	193
866	1251	192
867	1252	190
868	1254	189
869	1255	187
870	1256	186
871	1257	184
872	1258	183
873	1260	181
874	1261	180
875	1263	178
876	1264	177
877	1265	175
878	1266	174
879	1267	172
880	1269	171
881	1270	169
882	1271	168
883	1273	167
884	1274	165
885	1275	164
886	1276	162
887	1277	161
888	1279	159
889	1280	158
890	1281	156
891	1283	155
892	1284	153
893	1286	152
894	1287	151
895	1289	149
896	1290	148
897	1291	146
898	1292	145
899	1294	143
900	1295	142
901	1296	140
902	1297	139
903	1299	137
904	1300	136
905	1301	135
906	1303	133
907	1305	132
908	1306	130
909	1308	129
910	1309	127
911	1311	126
912	1312	125
913	1313	123
914	1314	122
915	1315	120
916	1316	119
917	1318	117
918	1319	116
919	1320	114
920	1321	113
921	1322	111
922	1324	110
923	1325	109
924	1326	107
925	1327	106
926	1328	104
927	1330	103
928	1331	101
929	1332	100
930	1333	98
931	1334	97
932	1336	95
933	1337	94
934	1338	93
935	1339	91
936	1340	90
937	1342	88
938	1343	87
939	1343	85
940	1344	84
